id,name,,rate
1,Ussal,,25
2,Missal,,30
3,Dahi Missal,,40
4,Pav,,5
5,Garam Pav,,6
6,Butter pav,,7
7,Potato Finger Chips,,70
8,Onion Bhaija,,90
9,Mix Pakoda,,85
10,Paneer Pakoda,,110
11,Chees Pakoda,,100
12,Bread Butter,,25
13,Veg Sandwich,,30
14,Cheese Sandwich,,35
15,Veg Chesse Sandwich,,50
16,Cheese Toast Sandwich,,40
17,Tea,,16
18,Special tea,,20
19,Nes Coffe,,20
20,Milk,,22
21,Soft Drink ,,20
22,Soda,,18
23,fresh Lime soda,,25
24,Mineral Wtaer,,20
25,Mineral water(500ml),,12
26,Butter Milk,,15
27,Lassi,,30
28,Veg Bhendi Koliwad,,90
29,Veg Paneer Koliwad,,150
30,Veg crispy,,150
31,Veg Panner Crispy,,160
32,Veg Lolly Pop,,130
33,Veg Spring Roll,,150
34,Veg Harabhara Kabab,,145
35,Veg paneerSpring roll,,150
36,veg Cheese Spring roll,,160
37,Veg Panneer Tikka,,165
38,Veg Chinese Bhel,,90
39,Alu Chat,,60
40,Green peas Fry Butter,,80
41,Garlic Fry,,70
42,Garlic Tawa Fry,,70
43,chana dry,,70
44,Veg Payal Special Soup,,95
45,veg Manchow Soup,,85
46,veg Hot and sour soup,,75
47,veg clear soup,,70
48,veg Royal soup,,75
49,veg sweet corn soup,,80
50,veg mushroom soup,,80
51,veg noodles soup,,75
52,veg Tomato soup,,80
53,veg makhanwala,,140
54,veg maharaja,,150
55,veg kolhapuri,,140
56,veg jaipuri,,120
57,veg mix,,90
58,veg boiled,,80
59,veg dal fry,,90
60,veg dal fry butter,,100
61,veg dal tadka,,100
62,veg dal kolhapuri,,110
63,veg mushroom masla,,150
64,veg chana massala,,90
65,veg chana masala fry,,100
